DisplayName,NormalizedName,alpha
Physiological Measurement,physiological measurement,0.03461047902352946
Theoretical Population Biology,theoretical population biology,0.04565576478361416
International Journal of Multiphase Flow,international journal of multiphase flow,0.027048257552844707
Acta Veterinaria Hungarica,acta veterinaria hungarica,0.020719678382471633
Revista Latinoamericana de Química,revista latinoamericana de quimica,-0.02959706959706961
Scandinavian Journal of Rheumatology,scandinavian journal of rheumatology,0.04590818935452721
Nutrition and Health,nutrition and health,0.12342929567264169
Advances in Immunology,advances in immunology,-0.0350522648083624
Food Microbiology,food microbiology,0.03827159954119789
International Journal of Global Environmental Issues,international journal of global environmental issues,0.11732377538829152
Journal of International Medical Research,journal of international medical research,0.01820926404847647
Turkish Journal of Medical Sciences,turkish journal of medical sciences,-0.03704808387897944
Epilepsy Currents,epilepsy currents,0.3409133643585766
Macedonian Journal of Chemistry and Chemical Engineering,macedonian journal of chemistry and chemical engineering,-0.005945130792877445
Scandinavian Journal of Forest Research,scandinavian journal of forest research,0.02897139205550419
Hearing Research,hearing research,0.008152443626185678
Journal of Occupational and Organizational Psychology,journal of occupational and organizational psychology,-0.1248812203050763
Evolution,evolution,0.04585090903050765
Journal of Central South University of Technology,journal of central south university of technology,-0.06705457794077889
Transportation Research Part B-methodological,transportation research part b methodological,0.12478191424007865
Sports Engineering,sports engineering,0.2725158562367864
The American Review of Public Administration,the american review of public administration,0.37585034013605445
Journal of Emergency Management,journal of emergency management,0.02084439723844928
Progress in Lipid Research,progress in lipid research,-0.0036633945084649077
"Annual Review of Ecology, Evolution, and Systematics",annual review of ecology evolution and systematics,0.3565514727454404
Journal of Information Security,journal of information security,-0.0306122448979592
Journal of Manufacturing Processes,journal of manufacturing processes,-0.025813198842755472
European Journal of Phycology,european journal of phycology,0.09528607715942809
Journal of Nuclear Medicine Technology,journal of nuclear medicine technology,0.23806774620728108
Precision Engineering-journal of The International Societies for Precision Engineering and Nanotechnology,precision engineering journal of the international societies for precision engineering and nanotechnology,0.4103648784277057
Journal of English for Academic Purposes,journal of english for academic purposes,0.2
Journal of Aerosol Medicine and Pulmonary Drug Delivery,journal of aerosol medicine and pulmonary drug delivery,0.03776234920484146
British Journal of Guidance & Counselling,british journal of guidance & counselling,0.19938271604938274
Global Ecology and Biogeography,global ecology and biogeography,0.2739971409339119
Journal of Clinical Densitometry,journal of clinical densitometry,0.03680910622769102
Mathematical Problems in Engineering,mathematical problems in engineering,0.01465109985971359
Theoretical and Applied Fracture Mechanics,theoretical and applied fracture mechanics,0.030976013234077754
Pediatric Critical Care Medicine,pediatric critical care medicine,0.11615653990250072
Journal of Integrative Bioinformatics,journal of integrative bioinformatics,0.18545390693839517
International Journal of Nanomanufacturing,international journal of nanomanufacturing,0.03275199492985337
Mobilization,mobilization,0.17886178861788615
Annual Review of Physiology,annual review of physiology,0.19063627481665785
Acta Chimica Sinica,acta chimica sinica,-0.04013167703651605
Nuovo Cimento Della Societa Italiana Di Fisica A-nuclei Particles and Fields,nuovo cimento della societa italiana di fisica a nuclei particles and fields,0.23599528182660712
Expert Reviews in Molecular Medicine,expert reviews in molecular medicine,0.030291579765263973
Palaeontographica Abteilung A-palaozoologie-stratigraphie,palaeontographica abteilung a palaozoologie stratigraphie,0.3279132791327913
Journal of The Atomic Energy Society of Japan,journal of the atomic energy society of japan,0.0
IEEE Journal of Translational Engineering in Health and Medicine,ieee journal of translational engineering in health and medicine,0.13387550508925372
arXiv: Computer Vision and Pattern Recognition,arxiv computer vision and pattern recognition,0.053515184312104995
Boletim do Museu de Biologia Mello Leitão,boletim do museu de biologia mello leitao,-0.03394879264304788
Polish Botanical Journal,polish botanical journal,0.12451595602038076
Revista de Letras Norte@mentos,revista de letras norte mentos,-0.012123360510457277
"Sexualidad, Salud y Sociedad: Revista Latinoamericana",sexualidad salud y sociedad revista latinoamericana,-0.2054794520547945
Revista Brasileira de Recursos Hídricos,revista brasileira de recursos hidricos,-0.021386284243427107
Revista Virtual de la Sociedad Paraguaya de Medicina Interna,revista virtual de la sociedad paraguaya de medicina interna,-0.00241944352798855
Conexões Culturais,conexoes culturais,0.00913242009132417
Cirugía Cardiovascular,cirugia cardiovascular,-0.009877274917179829
Arquipelago : Life and Marine Sciences,arquipelago life and marine sciences,-0.0744121715076072
National Medical Journal of China,national medical journal of china,0.008438866015806698
Československá patologie,ceskoslovenska patologie,0.1414284136451134
Global Journal of Health Science,global journal of health science,0.01670668231565059
EMS world,ems world,-0.048148148148148114
Multicultural Education,multicultural education,-0.22909263207770675
Vidyodaya Journal of Science,vidyodaya journal of science,-0.21461187214611877
Natural product sciences,natural product sciences,0.037835238179244536
Iranian Journal of Business and Economics,iranian journal of business and economics,-0.2666666666666667
Nigerian Journal of Natural Products and Medicine,nigerian journal of natural products and medicine,0.09818840579710146
The Indian Journal of Sleep Medicine,the indian journal of sleep medicine,-0.04622647917940356
Annals of economics and statistics,annals of economics and statistics,0.738095238095238
JSSE - Journal of Social Science Education,jsse journal of social science education,-0.04424778761061943
International Journal of Wellbeing,international journal of wellbeing,0.2686690223792697
Primary Education,primary education,-0.40571428571428575
Indian Journal of Mednodent and Allied Sciences,indian journal of mednodent and allied sciences,-0.0384591488039764
Environment and Pollution,environment and pollution,0.039102209435284585
Open journal of Discrete Mathematics,open journal of discrete mathematics,0.2666666666666667
"Ethics, Policy and Environment",ethics policy and environment,-0.07124681933842236
Sustainable Development Law and Policy,sustainable development law and policy,0.1925333333333333
